id,name,route,price,timing
1,Path Trail,Mumbai - Jamshedpur,2613,05:00 PM
2,Link Ride,Mumbai - Gorakhpur,1252,04:00 PM
3,Travels Shuttle,Mumbai - Ghaziabad,3867,06:00 AM
4,Travels Express,Mumbai - Bhopal,1102,03:00 PM
5,Way Runner,Mumbai - Bikaner,1934,08:00 PM
6,Ride Way,Mumbai - Bareilly,3330,01:00 PM
7,Coast Path,Mumbai - Dehradun,3321,02:00 PM
8,Way Travels,Mumbai - Siliguri,1449,07:00 AM
9,Ride Wheels,Mumbai - Delhi,3372,07:00 AM
10,Travels Link,Mumbai - Vadodara,1631,10:00 PM
11,Coast Line,Mumbai - Noida,2430,06:00 AM
12,Express Coast,Mumbai - Surat,1400,06:00 PM
13,Path Trail,Delhi - Warangal,3162,06:00 PM
14,Coast Ride,Delhi - Visakhapatnam,2154,09:00 PM
15,Express Line,Delhi - Amritsar,3687,06:00 PM
16,Wheels Wheels,Delhi - Udaipur,2924,09:00 AM
17,Link Coast,Delhi - Varanasi,1976,07:00 PM
18,Wheels Runner,Delhi - Aligarh,3686,06:00 PM
19,Express Line,Delhi - Faridabad,2646,01:00 PM
20,Express Path,Delhi - Mumbai,3464,10:00 AM
21,Travels Travels,Delhi - Chandigarh,1480,01:00 PM
22,Runner Trail,Delhi - Agra,2862,09:00 AM
23,Runner Wheels,Delhi - Aurangabad,2128,08:00 PM
24,Express Runner,Delhi - Meerut,3065,01:00 PM
25,Line Link,Delhi - Nagpur,1712,07:00 PM
26,Coast Coast,Delhi - Ajmer,3821,11:00 AM
27,Shuttle Express,Delhi - Surat,1363,02:00 PM
28,Ride Way,Bangalore - Bareilly,2947,02:00 PM
29,Link Link,Bangalore - Kolhapur,1141,06:00 AM
30,Runner Way,Bangalore - Panipat,3436,08:00 PM
31,Link Way,Bangalore - Kozhikode,3148,06:00 PM
32,Trail Trail,Bangalore - Surat,930,08:00 AM
33,Wheels Path,Bangalore - Jodhpur,1079,07:00 AM
34,Link Link,Bangalore - Vadodara,1382,04:00 PM
35,Ride Path,Bangalore - Kolkata,3385,08:00 PM
36,Runner Ride,Bangalore - Jaipur,3852,06:00 AM
37,Runner Path,Bangalore - Ludhiana,3608,09:00 PM
38,Shuttle Trail,Bangalore - Kozhikode,3665,07:00 AM
39,Coast Trail,Bangalore - Panipat,3932,09:00 PM
40,Path Runner,Bangalore - Noida,1174,10:00 AM
41,Coast Coast,Bangalore - Patna,2728,12:00 PM
42,Link Line,Bangalore - Dhanbad,3337,07:00 PM
43,Way Travels,Bangalore - Coimbatore,3611,06:00 AM
44,Path Coast,Bangalore - Indore,1440,09:00 PM
45,Trail Travels,Bangalore - Kolkata,2696,05:00 PM
46,Shuttle Runner,Hyderabad - Ajmer,3004,08:00 PM
47,Path Coast,Hyderabad - Kolhapur,1603,06:00 PM
48,Shuttle Ride,Hyderabad - Udaipur,3734,03:00 PM
49,Trail Way,Hyderabad - Vijayawada,869,01:00 PM
50,Runner Link,Hyderabad - Vijayawada,3221,03:00 PM
51,Travels Line,Hyderabad - Bangalore,1311,07:00 AM
52,Way Way,Hyderabad - Bhopal,2873,02:00 PM
53,Path Way,Hyderabad - Bhilai,3973,12:00 PM
54,Coast Wheels,Hyderabad - Ghaziabad,1703,07:00 AM
55,Coast Travels,Hyderabad - Aurangabad,2849,11:00 AM
56,Way Line,Hyderabad - Dehradun,3994,08:00 PM
57,Runner Runner,Hyderabad - Gwalior,2850,06:00 PM
58,Trail Trail,Chennai - Haridwar,2833,06:00 PM
59,Line Way,Chennai - Ludhiana,3039,10:00 AM
60,Ride Shuttle,Chennai - Trichy,2231,04:00 PM
61,Runner Express,Chennai - Srinagar,1305,05:00 PM
62,Shuttle Travels,Chennai - Meerut,1275,06:00 AM
63,Wheels Coast,Chennai - Guntur,3820,04:00 PM
64,Shuttle Wheels,Chennai - Bhilai,3353,02:00 PM
65,Travels Runner,Chennai - Mysore,2651,06:00 AM
66,Path Runner,Chennai - Jamshedpur,2730,07:00 AM
67,Trail Trail,Chennai - Dhanbad,2371,01:00 PM
68,Travels Link,Kolkata - Nagpur,3336,08:00 PM
69,Link Shuttle,Kolkata - Mumbai,2832,09:00 PM
70,Runner Path,Kolkata - Bhubaneswar,3414,12:00 PM
71,Ride Way,Kolkata - Surat,2153,07:00 AM
72,Express Runner,Kolkata - Ghaziabad,2786,09:00 AM
73,Wheels Travels,Kolkata - Cuttack,2448,09:00 PM
74,Line Way,Kolkata - Vadodara,2562,10:00 PM
75,Line Path,Kolkata - Surat,2073,04:00 PM
76,Shuttle Express,Kolkata - Visakhapatnam,2403,04:00 PM
77,Link Ride,Kolkata - Chennai,898,07:00 AM
78,Link Shuttle,Kolkata - Chennai,3164,10:00 AM
79,Express Ride,Kolkata - Dehradun,2832,01:00 PM
80,Link Trail,Kolkata - Shimla,3497,08:00 AM
81,Travels Path,Kolkata - Vijayawada,1329,09:00 PM
82,Travels Ride,Ahmedabad - Meerut,1575,02:00 PM
83,Line Wheels,Ahmedabad - Mysore,1501,08:00 PM
84,Shuttle Path,Ahmedabad - Hyderabad,1641,12:00 PM
85,Ride Link,Ahmedabad - Warangal,858,05:00 PM
86,Coast Trail,Ahmedabad - Cuttack,3679,12:00 PM
87,Line Trail,Ahmedabad - Varanasi,1167,07:00 AM
88,Line Ride,Ahmedabad - Allahabad,3300,08:00 PM
89,Runner Runner,Ahmedabad - Haridwar,3986,10:00 AM
90,Shuttle Way,Ahmedabad - Aligarh,1964,01:00 PM
91,Path Wheels,Ahmedabad - Jaipur,3445,07:00 AM
92,Travels Line,Ahmedabad - Thane,1498,12:00 PM
93,Shuttle Path,Ahmedabad - Thiruvananthapuram,2986,03:00 PM
94,Shuttle Wheels,Ahmedabad - Ajmer,1713,09:00 AM
95,Trail Path,Ahmedabad - Cuttack,1545,05:00 PM
96,Travels Way,Ahmedabad - Bhilai,2059,08:00 PM
97,Wheels Runner,Ahmedabad - Panipat,1315,10:00 AM
98,Runner Line,Ahmedabad - Kanpur,1581,12:00 PM
99,Wheels Wheels,Pune - Jodhpur,3820,10:00 AM
100,Trail Shuttle,Pune - Vijayawada,2236,06:00 PM
101,Wheels Runner,Pune - Mysore,2917,07:00 AM
102,Trail Line,Pune - Coimbatore,2577,09:00 AM
103,Way Express,Pune - Nashik,2143,05:00 PM
104,Wheels Shuttle,Pune - Amritsar,1059,08:00 AM
105,Express Shuttle,Pune - Ranchi,2508,12:00 PM
106,Way Link,Pune - Dhanbad,2208,07:00 PM
107,Line Way,Pune - Warangal,2225,11:00 AM
108,Way Runner,Pune - Bhilai,1549,03:00 PM
109,Trail Express,Pune - Kolhapur,2650,10:00 PM
110,Way Shuttle,Pune - Varanasi,1969,03:00 PM
111,Way Link,Pune - Warangal,2577,09:00 PM
112,Wheels Coast,Surat - Tirunelveli,3943,05:00 PM
113,Travels Trail,Surat - Bhopal,3767,10:00 PM
114,Express Path,Surat - Gwalior,3592,09:00 PM
115,Way Runner,Surat - Kolkata,3418,06:00 PM
116,Line Link,Surat - Pune,1586,09:00 PM
117,Line Way,Surat - Jhansi,1884,06:00 AM
118,Express Shuttle,Surat - Bhubaneswar,1150,02:00 PM
119,Shuttle Way,Surat - Faridabad,2431,02:00 PM
120,Path Wheels,Surat - Bikaner,976,12:00 PM
121,Trail Line,Surat - Meerut,2678,07:00 PM
122,Express Trail,Surat - Coimbatore,3751,04:00 PM
123,Link Coast,Surat - Varanasi,2714,06:00 PM
124,Wheels Travels,Surat - Aligarh,1317,03:00 PM
125,Line Shuttle,Surat - Bhubaneswar,1433,04:00 PM
126,Ride Wheels,Surat - Agra,1730,08:00 PM
127,Line Line,Surat - Coimbatore,2088,07:00 AM
128,Express Coast,Surat - Mysore,2259,01:00 PM
129,Runner Way,Jaipur - Ahmedabad,2354,06:00 PM
130,Trail Wheels,Jaipur - Indore,2946,10:00 PM
131,Coast Way,Jaipur - Bhubaneswar,1332,09:00 AM
132,Ride Line,Jaipur - Bhilai,2036,09:00 AM
133,Wheels Trail,Jaipur - Delhi,1582,12:00 PM
134,Link Path,Jaipur - Thane,823,08:00 PM
135,Line Ride,Jaipur - Vijayawada,3224,07:00 PM
136,Wheels Express,Jaipur - Nashik,1293,06:00 PM
137,Ride Trail,Jaipur - Rajkot,2396,12:00 PM
138,Shuttle Way,Jaipur - Delhi,2130,01:00 PM
139,Ride Path,Lucknow - Vijayawada,3374,11:00 AM
140,Link Line,Lucknow - Chandigarh,3840,08:00 PM
141,Travels Line,Lucknow - Cuttack,3632,08:00 PM
142,Way Shuttle,Lucknow - Jamshedpur,1251,03:00 PM
143,Runner Wheels,Lucknow - Gorakhpur,2916,06:00 AM
144,Line Shuttle,Lucknow - Gwalior,2947,04:00 PM
